2025-12-29 23:52:44.696 | INFO     | utils.logger_config:setup_logger:111 | Logger configured: ui_backend
2025-12-29 23:52:44.697 | INFO     | utils.logger_config:setup_logger:112 | Log file: /Users/rajarn/Learn-Agentic/edgar-poc/edgar-graphdb/ui/backend/logs/ui_backend_20251229.log
2025-12-29 23:52:44.697 | INFO     | utils.logger_config:setup_logger:113 | Error log file: /Users/rajarn/Learn-Agentic/edgar-poc/edgar-graphdb/ui/backend/logs/errors_20251229.log
2025-12-29 23:52:44.697 | INFO     | utils.logger_config:setup_logger:114 | Access log file: /Users/rajarn/Learn-Agentic/edgar-poc/edgar-graphdb/ui/backend/logs/access_20251229.log
2025-12-29 23:52:44.697 | INFO     | utils.logger_config:setup_logger:115 | Log level: INFO
2025-12-29 23:52:44.908 | INFO     | app:startup_event:87 | ============================================================
2025-12-29 23:52:44.908 | INFO     | app:startup_event:88 | Neo4j EDGAR Graph API - Starting
2025-12-29 23:52:44.908 | INFO     | app:startup_event:89 | ============================================================
2025-12-29 23:52:44.908 | INFO     | app:startup_event:90 | Environment: development
2025-12-29 23:52:44.908 | INFO     | app:startup_event:91 | Neo4j URI: bolt://localhost:7687
2025-12-29 23:53:20.239 | INFO     | app:dispatch:39 | Request: GET /api/graph/AAPL | Client: 127.0.0.1 | Query params: {}
2025-12-29 23:53:20.240 | INFO     | services.neo4j_service:__init__:104 | Initializing Neo4jGraphService
2025-12-29 23:53:20.240 | INFO     | neo4j_client:__init__:55 | Initializing Neo4j client: bolt://localhost:7687 (user: neo4j)
2025-12-29 23:53:20.257 | INFO     | neo4j_client:connect:70 | Successfully connected to Neo4j
2025-12-29 23:53:20.257 | INFO     | services.neo4j_service:__init__:108 | Neo4jGraphService initialized successfully
2025-12-29 23:53:20.351 | INFO     | services.neo4j_service:get_complete_graph:343 | get_complete_graph completed for AAPL: 92 nodes, 91 edges in 0.095s
2025-12-29 23:53:20.365 | INFO     | app:dispatch:50 | Response: GET /api/graph/AAPL | Status: 200 | Time: 0.126s
2025-12-29 23:53:20.377 | INFO     | app:dispatch:39 | Request: GET /api/ticker/AAPL/stats | Client: 127.0.0.1 | Query params: {}
2025-12-29 23:53:20.377 | INFO     | api.ticker:get_ticker_stats:116 | Getting stats for ticker: AAPL
2025-12-29 23:53:20.377 | INFO     | services.neo4j_service:__init__:104 | Initializing Neo4jGraphService
2025-12-29 23:53:20.378 | INFO     | neo4j_client:__init__:55 | Initializing Neo4j client: bolt://localhost:7687 (user: neo4j)
2025-12-29 23:53:20.382 | INFO     | neo4j_client:connect:70 | Successfully connected to Neo4j
2025-12-29 23:53:20.382 | INFO     | services.neo4j_service:__init__:108 | Neo4jGraphService initialized successfully
2025-12-29 23:53:20.385 | INFO     | api.ticker:get_ticker_stats:127 | Stats retrieved for AAPL: 12 filings, 23 sections, 56 chunks in 0.008s
2025-12-29 23:53:20.386 | INFO     | app:dispatch:50 | Response: GET /api/ticker/AAPL/stats | Status: 200 | Time: 0.009s
