2025-12-30 01:07:51.534 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000066_Item1 | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-30 01:07:51.535 | INFO     | Response: GET /api/graph/node/0000320193-25-000066_Item1 | Status: 200 | Time: 0.013s
2025-12-30 01:07:51.541 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000066_Item1 | Status: 404 | Time: 0.007s
2025-12-30 01:07:54.670 | INFO     | Request: GET /api/graph/node/0000912057-97-019277 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:07:54.684 | INFO     | Response: GET /api/graph/node/0000912057-97-019277 | Status: 200 | Time: 0.015s
2025-12-30 01:07:58.444 | INFO     | Request: GET /api/graph/node/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'labels': 'Section'}
2025-12-30 01:07:58.458 | INFO     | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.014s
2025-12-30 01:07:59.093 | INFO     | Request: GET /api/graph/AAPL/expand/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-30 01:07:59.106 | INFO     | Response: GET /api/graph/AAPL/expand/0000912057-97-019277_Item1 | Status: 404 | Time: 0.013s
2025-12-30 01:07:59.966 | INFO     | Request: GET /api/graph/node/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'labels': 'Section'}
2025-12-30 01:07:59.980 | INFO     | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.015s
2025-12-30 01:08:00.174 | INFO     | Request: GET /api/graph/node/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'labels': 'Section'}
2025-12-30 01:08:00.184 | INFO     | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.010s
2025-12-30 01:08:05.011 | INFO     | Request: GET /api/graph/node/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'labels': 'Section'}
2025-12-30 01:08:05.024 | INFO     | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.013s
2025-12-30 01:08:16.675 | INFO     | Request: GET /api/graph/node/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'labels': 'Section'}
2025-12-30 01:08:16.687 | INFO     | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.012s
2025-12-30 01:08:16.924 | INFO     | Request: GET /api/graph/node/0000912057-97-019277_Item1 | Client: 127.0.0.1 | Query params: {'labels': 'Section'}
2025-12-30 01:08:16.938 | INFO     | Response: GET /api/graph/node/0000912057-97-019277_Item1 | Status: 200 | Time: 0.014s
2025-12-30 01:08:17.567 | INFO     | Request: GET /api/graph/node/0001308179-25-000008 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:08:17.581 | INFO     | Response: GET /api/graph/node/0001308179-25-000008 | Status: 200 | Time: 0.014s
2025-12-30 01:08:18.072 | INFO     | Request: GET /api/graph/node/0001308179-25-000008 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-30 01:08:18.087 | INFO     | Response: GET /api/graph/node/0001308179-25-000008 | Status: 200 | Time: 0.015s
2025-12-30 01:08:18.326 | INFO     | Request: GET /api/graph/node/0001308179-25-000008 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
