2025-12-29 23:18:18.603 | INFO     | Request: GET /api/graph/AAPL | Client: 127.0.0.1 | Query params: {}
2025-12-29 23:18:18.628 | INFO     | Response: GET /api/graph/AAPL | Status: 200 | Time: 0.025s
2025-12-29 23:18:18.631 | INFO     | Request: GET /api/ticker/AAPL/stats | Client: 127.0.0.1 | Query params: {}
2025-12-29 23:18:18.641 | INFO     | Response: GET /api/ticker/AAPL/stats | Status: 200 | Time: 0.010s
2025-12-29 23:18:21.908 | INFO     | Request: GET /api/graph/node/0000320193-25-000079 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-29 23:18:21.969 | INFO     | Response: GET /api/graph/node/0000320193-25-000079 | Status: 200 | Time: 0.061s
2025-12-29 23:18:22.839 | INFO     | Request: GET /api/graph/node/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-29 23:18:22.849 | INFO     | Response: GET /api/graph/node/0000320193-25-000073 | Status: 200 | Time: 0.010s
2025-12-29 23:18:23.541 | INFO     | Request: GET /api/graph/node/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-29 23:18:23.553 | INFO     | Response: GET /api/graph/node/0000320193-25-000073 | Status: 200 | Time: 0.013s
2025-12-29 23:18:23.730 | INFO     | Request: GET /api/graph/node/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'labels': 'Filing'}
2025-12-29 23:18:23.743 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073 | Client: 127.0.0.1 | Query params: {'node_type': 'filing'}
2025-12-29 23:18:23.743 | INFO     | Response: GET /api/graph/node/0000320193-25-000073 | Status: 200 | Time: 0.013s
2025-12-29 23:18:23.749 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073 | Status: 200 | Time: 0.007s
2025-12-29 23:19:07.841 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:07.887 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet | Status: 200 | Time: 0.046s
2025-12-29 23:19:07.993 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:08.006 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073_Itembalance_sheet | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-29 23:19:08.006 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet | Status: 200 | Time: 0.013s
2025-12-29 23:19:08.030 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073_Itembalance_sheet | Status: 200 | Time: 0.024s
2025-12-29 23:19:09.559 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:09.600 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Status: 200 | Time: 0.042s
2025-12-29 23:19:09.737 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:09.753 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Status: 200 | Time: 0.016s
2025-12-29 23:19:16.114 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:16.130 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Status: 200 | Time: 0.015s
2025-12-29 23:19:16.316 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:16.330 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_0 | Status: 200 | Time: 0.015s
2025-12-29 23:19:16.915 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_1 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:16.927 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_1 | Status: 200 | Time: 0.013s
2025-12-29 23:19:17.386 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_2 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:17.399 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_2 | Status: 200 | Time: 0.013s
2025-12-29 23:19:23.206 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:23.219 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Status: 200 | Time: 0.012s
2025-12-29 23:19:24.197 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:24.210 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemcash_flow_statement | Status: 200 | Time: 0.013s
2025-12-29 23:19:34.975 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_1 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:34.988 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_1 | Status: 200 | Time: 0.013s
2025-12-29 23:19:35.175 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_1 | Client: 127.0.0.1 | Query params: {'labels': 'Chunk'}
2025-12-29 23:19:35.188 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itembalance_sheet_chunk_1 | Status: 200 | Time: 0.013s
2025-12-29 23:19:35.936 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemfinancials | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:35.949 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemfinancials | Status: 200 | Time: 0.013s
2025-12-29 23:19:36.128 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemfinancials | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:36.139 | INFO     | Request: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemfinancials | Client: 127.0.0.1 | Query params: {'node_type': 'section'}
2025-12-29 23:19:36.140 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemfinancials | Status: 200 | Time: 0.012s
2025-12-29 23:19:36.147 | INFO     | Response: GET /api/graph/AAPL/expand/0000320193-25-000073_Itemfinancials | Status: 200 | Time: 0.008s
2025-12-29 23:19:39.385 | INFO     | Request: GET /api/graph/node/0000320193-25-000073_Itemchunked_document | Client: 127.0.0.1 | Query params: {'labels': 'Section,PeriodicReportSection'}
2025-12-29 23:19:39.397 | INFO     | Response: GET /api/graph/node/0000320193-25-000073_Itemchunked_document | Status: 200 | Time: 0.012s
